Step	Phase	Loss	Acc	Precision	Recall	F1	AUC	AUPR	LR
300	train	0.278339	0.906458	0.058824	0.026439	0.036481	0.555676	0.076775	0.00002000
300	val	0.252101	0.930201	0.000000	0.000000	0.000000	0.638827	0.097872	0.00002000
600	train	0.257933	0.929375	0.000000	0.000000	0.000000	0.580787	0.088476	0.00002000
600	val	0.243686	0.930201	0.000000	0.000000	0.000000	0.640260	0.099214	0.00002000
900	train	0.247614	0.931562	0.000000	0.000000	0.000000	0.613480	0.087728	0.00002000
900	val	0.246805	0.930201	0.000000	0.000000	0.000000	0.640187	0.099965	0.00002000
1200	train	0.256196	0.927188	0.000000	0.000000	0.000000	0.608840	0.094328	0.00002000
1200	val	0.242389	0.930201	0.000000	0.000000	0.000000	0.643169	0.103095	0.00002000
1500	train	0.245576	0.932292	0.000000	0.000000	0.000000	0.606158	0.088037	0.00002000
1500	val	0.271120	0.930201	0.000000	0.000000	0.000000	0.646841	0.106029	0.00002000
