Step	Phase	Loss	Acc	Precision	Recall	F1	AUC	AUPR	LR
300	val	0.655427	0.693916	0.671280	0.746154	0.706740	0.756116	0.751711	0.00001951
400	val	0.652627	0.663498	0.832000	0.400000	0.540260	0.764980	0.774548	0.00001914
500	val	0.723885	0.709125	0.716599	0.680769	0.698225	0.767496	0.752956	0.00001866
600	val	0.787461	0.671103	0.784314	0.461538	0.581114	0.771356	0.765879	0.00001809
700	val	0.685052	0.699620	0.660377	0.807692	0.726644	0.773222	0.752374	0.00001743
800	val	0.675446	0.730038	0.743802	0.692308	0.717131	0.779829	0.767237	0.00001669
900	val	0.739107	0.701521	0.665595	0.796154	0.725044	0.776735	0.761257	0.00001588
1000	val	0.843932	0.716730	0.744493	0.650000	0.694045	0.775188	0.778454	0.00001500
1100	val	0.813342	0.716730	0.688136	0.780769	0.731532	0.775289	0.744226	0.00001407
1200	val	0.700440	0.718631	0.685430	0.796154	0.736655	0.779829	0.763592	0.00001309
1300	val	0.783514	0.750951	0.749035	0.746154	0.747592	0.786871	0.763814	0.00001208
1400	val	0.749950	0.730038	0.750000	0.680769	0.713710	0.784500	0.769179	0.00001105
1500	val	0.705679	0.716730	0.770732	0.607692	0.679570	0.788013	0.777168	0.00001000
