Step	Phase	Loss	Acc	Precision	Recall	F1	AUC	AUPR	LR
50	train	0.780528	0.515000	0.486994	0.444591	0.464828	0.506139	0.485182	0.00002000
50	val	0.697747	0.480712	0.480712	1.000000	0.649299	0.661057	0.636935	0.00002000
100	train	0.681344	0.555000	0.538321	0.391247	0.453149	0.583593	0.557991	0.00002000
100	val	0.657526	0.634421	0.602105	0.706173	0.650000	0.689871	0.660563	0.00002000
150	train	0.676630	0.595625	0.586648	0.537061	0.560760	0.620256	0.579879	0.00002000
150	val	0.656503	0.605341	0.742475	0.274074	0.400361	0.705385	0.676306	0.00002000
200	train	0.675356	0.593125	0.603424	0.531407	0.565130	0.622777	0.616098	0.00002000
200	val	0.627854	0.646884	0.721649	0.432099	0.540541	0.721070	0.691905	0.00002000
250	train	0.646545	0.633670	0.626687	0.557333	0.589979	0.684515	0.627199	0.00002000
250	val	0.771632	0.574481	0.829787	0.144444	0.246057	0.720464	0.688515	0.00002000
300	train	0.651825	0.613125	0.605670	0.600255	0.602951	0.671192	0.651026	0.00002000
300	val	0.614840	0.667656	0.672652	0.601235	0.634941	0.721440	0.690227	0.00002000
350	train	0.637835	0.643125	0.632424	0.535326	0.579838	0.692846	0.630921	0.00002000
350	val	0.646146	0.617211	0.565114	0.883951	0.689456	0.725097	0.694581	0.00002000
400	train	0.645610	0.625625	0.625889	0.567010	0.594997	0.675520	0.647115	0.00002000
400	val	0.610929	0.667656	0.636761	0.718519	0.675174	0.736970	0.704305	0.00002000
450	train	0.646268	0.636250	0.631054	0.578329	0.603542	0.686878	0.645552	0.00002000
450	val	0.608431	0.664095	0.704013	0.519753	0.598011	0.736528	0.707654	0.00002000
500	train	0.628548	0.643127	0.632040	0.649936	0.640863	0.700689	0.680042	0.00002000
500	val	0.637880	0.671810	0.719658	0.519753	0.603584	0.736926	0.703334	0.00002000
550	train	0.630253	0.672500	0.685315	0.621039	0.651596	0.714266	0.690975	0.00002000
550	val	0.604924	0.680119	0.693848	0.598765	0.642810	0.737119	0.703175	0.00002000
600	train	0.621439	0.663125	0.653846	0.654685	0.654266	0.713758	0.705758	0.00002000
600	val	0.645545	0.630267	0.766382	0.332099	0.463394	0.743901	0.708203	0.00002000
final	test	0.662957	0.586944	0.544106	0.861557	0.666986	0.697801	0.671146	0.00002000
