before_umap_x,before_umap_y,true_label,decision_value
10.896937,9.485497,1,-0.07510424606959688
-0.6219792,7.737453,0,-0.9999117590678033
9.368486,10.377708,1,0.9996138316445988
0.36901227,6.3039045,1,1.0001785649983321
4.205329,8.749718,1,1.9958947409771373
2.0492737,4.8893995,1,1.0329925772786188
8.622584,10.126178,1,0.9996645015037691
0.35722712,5.112086,1,1.0000169663448886
2.6183357,4.369774,0,-1.1610634295700886
8.547374,9.382205,1,1.0810753057656455
11.206619,4.4379425,1,1.0000141897654191
2.2678561,5.90891,0,-0.9999718028789386
5.110797,6.0455565,0,-1.0001198606213153
2.270347,8.793125,0,-0.5392877517151772
0.8796008,5.055346,0,-0.999864530751274
8.526739,10.665126,1,1.4648900875209034
-1.8226893,4.432613,0,-1.380244223932875
4.12503,9.005144,1,1.6461711271373425
5.200906,3.8271654,1,1.0000440499452936
7.966865,9.928648,0,-0.9997784332836215
12.99158,9.209156,1,1.2296414283831028
7.98819,9.534298,1,0.999821936672902
-2.9177144,3.9164934,0,-0.9998522970941102
6.384599,10.249735,1,1.0001343429320242
9.882133,6.249025,0,-0.999823489279027
-1.2407305,7.2849336,1,0.9994689962221988
-0.21647501,7.0498257,0,-1.017987017542341
-0.23868242,7.858991,0,-0.9999384244708233
-2.8111773,4.5261183,0,-1.000135900194601
5.3422146,3.883231,0,-1.0735091315733198
0.21194477,4.2632685,1,0.9998044157290378
3.8196948,3.857165,1,0.05565718354935466
4.6390305,8.591757,1,1.0000854145681617
-3.645578,5.9357247,1,0.9996141023257339
10.891991,9.830581,1,1.2954000789574873
8.209758,10.033752,1,0.9999800151331415
8.069939,9.349312,0,-1.000023076532544
11.739822,6.160262,0,-1.217842305567075
7.7318683,5.558337,1,1.0000970087338446
12.7081,4.4359045,0,-0.9998681899092212
6.9323335,10.166913,1,1.0451451230334985
1.5233661,8.188575,0,-1.2781401918956004
8.400442,5.8867545,1,0.9996741961617597
11.058913,6.5007763,0,-0.9997623998837286
12.424669,3.563742,1,1.1666741644969745
5.7843595,9.770235,1,0.9997343208213831
2.6591623,5.5007973,0,-1.204549309610625
10.517908,4.4705296,1,0.9997831809524254
3.3104846,5.36167,0,-0.9998716378386935
8.876748,10.340291,1,1.1121109722928353
2.9691415,6.228536,0,-1.0002842149177904
-3.3816037,4.538992,0,-0.6823330682814257
10.983188,9.817892,1,1.207509962876134
-1.1394278,5.669213,1,0.2847392482815354
2.5047693,5.96023,1,1.067850283499288
6.3152194,10.244843,1,1.1604619228596351
-2.8317556,3.9296982,0,-1.3839404790080847
-1.9615636,6.796491,0,-1.0001222576036264
3.0948782,8.400619,1,1.0001393392614595
-2.9337268,4.4786777,0,-1.0003242809802646
5.926153,8.737832,1,1.0002913159516873
4.7539277,7.71905,1,1.0003081873937563
-0.07076503,6.744101,1,0.9999038590699165
5.365812,9.640682,0,-0.9997403479038324
5.230974,3.7553966,0,-0.9999585640948488
10.847923,6.5022235,1,-0.940699148545833
10.266345,9.961406,1,1.0000192524387623
12.420424,4.6232877,0,-1.0000369115286605
1.1993028,4.8639026,0,-0.9998127781692219
0.4226109,6.6738567,0,-1.0002476434884267
7.6167355,9.418909,1,0.732050739518441
11.3562765,9.299121,1,1.261818685695764
3.7327833,6.8048654,0,-0.9997077897251239
11.713609,4.056513,0,-0.43370376876433603
9.093447,6.4410453,0,-0.9999076476323759
6.633434,8.882177,0,-0.7080397764208698
1.2155186,5.8925505,1,1.0001106170090608
